Name;Location;Diameter;Age;Latitude;Longitude;URL
Goat Paddock;Western Australia;5;< 50 million;-18.3333;126.6667;https://en.wikipedia.org/wiki/Goat_Paddock_crater
Gosses Bluff;Northern Territory;22;142.5 ± 0.8 million;-23.8167;132.3167;https://en.wikipedia.org/wiki/Gosses_Bluff_crater
Goyder;Northern Territory;3;< 1.4 billion;-13.1500;135.0333;https://en.wikipedia.org/wiki/Goyder_crater
Henbury;Northern Territory;0.16;4200 ± 1900;-24.5667;133.1500;https://en.wikipedia.org/wiki/Henbury_crater
Kelly West;Northern Territory;10;> 550 million;-19.9333;133.9500;https://en.wikipedia.org/wiki/Kelly_West_crater
Lawn Hill;Queensland;18;> 515 million;-18.6667;138.6500;https://en.wikipedia.org/wiki/Lawn_Hill_crater
Liverpool;Northern Territory;1.6;1000 - 543 million;-12.4000;134.0500;https://en.wikipedia.org/wiki/Liverpool_crater
Matt Wilson;Northern Territory;7.5;< 1402 ± 440 million;-15.5011;131.1786;https://en.wikipedia.org/wiki/Matt_Wilson_(crater)
Mount Toondina;South Australia;4;< 110 million;-27.9500;135.3667;https://en.wikipedia.org/wiki/Mount_Toondina_crater
Piccaninny;Western Australia;7;< 360 million;-17.4333;128.4333;https://en.wikipedia.org/wiki/Piccaninny_crater
Shoemaker;Western Australia;30;Proterozoic;-25.8667;120.8833;https://en.wikipedia.org/wiki/Shoemaker_crater
Spider;Western Australia;13;> 570 million;-16.7333;126.0833;https://en.wikipedia.org/wiki/Spider_crater
Strangways;Northern Territory;25;646 ± 42 million;-15.2000;133.5833;https://en.wikipedia.org/wiki/Strangways_crater
Tookoonooka;Queensland;55;128 ± 5 million;-27.1167;142.8333;https://en.wikipedia.org/wiki/Tookoonooka_crater
Veevers;Western Australia;0.08;< 20 thousand;-22.9667;125.3667;https://en.wikipedia.org/wiki/Veevers_crater
Wolfe Creek;Western Australia;0.87;300;-19.1667;127.8000;https://en.wikipedia.org/wiki/Wolfe_Creek_crater
Woodleigh;Western Australia;60–120;364 ± 8 million;-26.0500;114.6667;https://en.wikipedia.org/wiki/Woodleigh_crater
Yarrabubba;Western Australia;70;> 2 billion;-27.1667;118.8333;
Ora Banda;Western Australia;5;100 million;-30.6333;121.1000;https://en.wikipedia.org/w/index.php?title=Ora_Banda_crater&action=edit&redlink=1
Hickman Crater;Newman, Western Australia;0.27 km;10 - 100 thousand;-23.0370;119.6820;https://en.wikipedia.org/wiki/Hickman_Crater
Yallalie Impact Structure;Dandaragan,Western Australia;12 km;80-90 Million;-30.4514;115.7825;https://en.wikipedia.org/w/index.php?title=Yallalie_Impact_Structure&action=edit&redlink=1
